Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Aruba;ABW;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21732.85831;23099.94009;23889.04502;24575.66066;25791.04318;26254.7428;26004.49563;27240.80279;27412.75519;27765.65326;30245.70697;31920.23907;31888.50874;32507.08431;35059.2731;35098.79767;35937.59466;37768.56601;38904.99925;34339.93916;33729.51191;35324.07206;34095.64717;35901.65331;35657.2872;35972.86644;36117.50821;37524.92848;39287.01952;39110.27619;28976.46355;35696.30937;41649.45079;44967.34451;
Africa Eastern and Southern;AFE;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1805.536162;1818.349244;1776.252463;1766.441848;1788.612381;1858.877388;1945.293715;2012.192323;2019.906634;2052.553959;2116.708226;2187.101894;2249.467104;2308.467503;2439.229394;2602.321141;2786.101474;2972.278139;3082.393725;3041.848305;3149.290769;3253.882304;3171.731146;3291.011573;3426.709344;3456.491245;3551.146279;3703.97771;3648.261332;3742.921371;3629.566978;3907.249127;4229.086486;4352.490897;4481.246847
Afghanistan;AFG;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;813.550256;747.6880455;926.507941;966.9620321;971.633503;1076.087353;1121.834471;1286.949843;1333.747267;1570.698145;1765.538028;1744.060623;1988.429304;2133.241271;2224.490748;2284.075848;2213.181441;2335.795862;2432.276701;2583.485332;2561.981761;2144.16657;2122.995815;2201.722907;
Africa Western and Central;AFW;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1741.3755;1775.369787;1806.611963;1778.752723;1768.241377;1793.032065;1859.945239;1923.91818;1963.029201;1969.702996;2032.277961;2126.379549;2297.546727;2404.852788;2592.613321;2752.366732;2904.176505;3056.17855;3218.913431;3335.301047;3510.774499;3659.213699;3777.576842;3933.084083;4134.630237;4090.728121;4032.306271;4100.154941;4238.954649;4494.591601;4484.064642;4746.752785;5169.145547;5408.013246;5639.830732
Angola;AGO;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3340.598482;3372.596968;3143.44061;2369.241832;2374.020821;2695.805985;3013.332813;3178.494803;3254.244475;3262.975529;3326.779914;3427.85395;3824.284804;3878.507955;4262.906013;4876.287684;5404.38383;6095.999267;6651.377741;6498.169282;6607.022197;6711.390257;7354.942966;7561.039205;7990.274457;7119.726443;6843.735897;6992.728834;7347.799936;7528.382418;6450.749946;7408.126591;7924.888806;8046.817299;8347.952791
Albania;ALB;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2655.059901;1988.181406;1898.820304;2142.681185;2384.728785;2776.187606;3053.329987;2759.428026;3085.572796;3549.284425;3976.926083;4451.000524;4840.347882;5169.842511;5595.55058;6014.326823;6754.356795;7584.970687;8469.260125;9025.926107;9755.92876;10273.46683;10463.60624;10588.15788;11317.28378;11747.31803;12208.37535;13004.77763;13696.534;14792.03082;14511.88937;16126.77749;19444.7069;21259.79778;23487.99363
Andorra;AND;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24908.87094;24510.24608;23816.84047;22958.32578;23509.45998;24934.38277;26541.58145;29121.60371;30072.72727;31589.95824;33458.11816;36895.44025;38787.05225;41147.8807;42717.23777;44577.81933;46852.65839;47501.43093;44838.995;42522.99456;43853.17124;46436.11586;45503.04448;45609.23072;48505.60174;50733.239;53110.14263;53084.86396;55244.65541;57475.06928;52095.8414;59332.20291;68470.07595;71730.66868;74939.4746
Arab World;ARB;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6794.461597;7111.091809;7539.188006;7743.185962;7923.557412;8089.289174;8418.758547;8811.147898;9147.210192;9337.306416;9924.822613;10117.39019;10132.10584;10445.96096;11463.2461;12177.09949;12990.63496;13589.11184;14258.92692;14085.80014;14648.82795;15207.1297;16069.9412;15993.74285;15771.57881;14285.25196;13811.37666;14424.47841;15506.57164;15682.97011;14279.04538;16001.63057;17925.65302;18432.96446;18786.80238
United Arab Emirates;ARE;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86949.00941;85764.62679;86019.08202;84860.30939;88427.2849;92106.95545;93008.57037;94374.18988;88693.03068;86165.45271;91317.62837;88831.57661;86960.31674;91058.66907;96981.59079;99576.61687;104995.3979;99096.70545;93017.09065;83336.81974;83670.90937;87709.04441;87339.68766;85514.80243;85248.15473;71720.30845;67702.14739;68043.23122;75071.18005;76884.9469;65352.83442;67401.12129;73777.74439;76110.38484;77958.89541
Argentina;ARG;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7158.308492;7960.97844;8667.852804;9472.445099;10103.02974;9890.924709;10495.83925;11403.48079;11835.67699;11463.85331;11499.9828;11117.75492;9953.464929;10933.39255;12117.67974;13464.81285;14843.57787;16455.11298;17276.75709;16182.07535;17847.61104;19104.99094;19430.41781;19928.98949;19487.41817;19899.14993;20105.76136;23385.07409;24410.39191;23516.8262;22393.34796;26300.27426;29597.69384;30082.30452;30175.53597
Armenia;ARM;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2760.2495;2476.603092;1491.612672;1440.393678;1591.478835;1766.910148;1921.549989;2039.788323;2239.427583;2376.519169;2530.743947;2844.362664;3282.117063;3836.225568;4377.227597;5172.218921;6072.759245;7136.754055;7827.316667;6811.69248;7095.21268;7624.267726;8942.635379;9454.878528;9736.234975;9756.840848;10570.27204;12066.00431;12877.49375;14975.75395;14706.3173;15921.70528;19161.37005;21534.03054;22823.17953
American Samoa;ASM;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
